species,Latitude,Longitude
mellifera,19.136433,-155.504258
mellifera,19.158763,-155.7699
mellifera,19.352307,-155.221195
mellifera,19.386686,-155.87863
mellifera,19.412317,-155.242722
mellifera,19.423049,-155.256128
mellifera,19.42537,-155.257301
mellifera,19.426498,-155.256804
mellifera,19.429653,-155.257295
mellifera,19.430415,-155.212784
mellifera,19.444011,-155.239161
mellifera,19.471267,-155.902925
mellifera,19.511145,-155.921724
mellifera,19.5545,-155.943
mellifera,19.568388,-155.96293
mellifera,19.611901,-155.973141
mellifera,19.612085,-155.981183
mellifera,19.637941,-155.989875
mellifera,19.637984,-155.989836
mellifera,19.64,-156
mellifera,19.6652,-155.388
mellifera,19.671936,-156.025897
mellifera,19.672468,-156.025848
mellifera,19.676022,-156.024257
mellifera,19.676208,-156.021533
mellifera,19.69947,-156.04695
mellifera,19.761351,-155.45469
mellifera,19.779627,-155.83146
mellifera,19.800302,-155.556192
mellifera,20.02306,-155.67167
mellifera,20.6099,-156.3057
mellifera,20.6325,-156.4439
mellifera,20.6414,-156.102
mellifera,20.6469,-156.0859
mellifera,20.663065,-156.042398
mellifera,20.6641,-156.3992
mellifera,20.6781,-156.3202
mellifera,20.681,-156.3261
mellifera,20.6839,-156.3864
mellifera,20.6891,-156.3176
mellifera,20.691884,-156.378443
mellifera,20.7031,-156.2713
mellifera,20.7042,-156.3598
mellifera,20.7066,-156.3083
mellifera,20.713842,-156.446766
mellifera,20.7183,-155.9932
mellifera,20.719269,-156.446784
mellifera,20.721597,-156.447814
mellifera,20.730172,-156.453028
mellifera,20.731418,-156.453928
mellifera,20.7344,-156.3178
mellifera,20.736,-156.3603
mellifera,20.737408,-156.322906
mellifera,20.741915,-156.324209
mellifera,20.7434,-156.4454
mellifera,20.7553,-156.3073
mellifera,20.760088,-156.246155
mellifera,20.7638,-156.2591
mellifera,20.764,-156.2885
mellifera,20.7667,-156.3019
mellifera,20.781829,-156.462589
mellifera,20.794293,-156.466601
mellifera,20.7944,-156.4649
mellifera,20.7946,-156.4666
mellifera,20.795081,-156.471149
mellifera,20.7957,-156.4714
mellifera,20.796527,-156.48601
mellifera,20.798,-156.5875
mellifera,20.801262,-156.07843
mellifera,20.8056,-156.3081
mellifera,20.8076,-156.5128
mellifera,20.808855,-156.512478
mellifera,20.8212,-156.3104
mellifera,20.8309,-156.6382
mellifera,20.8375,-156.4912
mellifera,20.848647,-156.507155
mellifera,20.851861,-156.319659
