species,Latitude,Longitude
smaragdula,19.642345,-156.007748
smaragdula,19.643544,-156.010198
smaragdula,19.674,-156.0262
smaragdula,19.6822,-156.0333
smaragdula,20.641,-156.4432
smaragdula,20.6781,-156.3202
smaragdula,20.706,-156.4349
smaragdula,20.7944,-156.4649
smaragdula,20.8056,-156.3081
smaragdula,20.8076,-156.5128
smaragdula,20.8375,-156.4912
smaragdula,20.8674,-156.4861
smaragdula,20.8688,-156.5038
smaragdula,20.887,-156.4995
smaragdula,20.8896,-156.4836
smaragdula,20.8928,-156.4856
smaragdula,20.8953,-156.4564
smaragdula,20.8967,-156.4482
smaragdula,20.8968,-156.4786
smaragdula,20.9004,-156.4372
smaragdula,20.9008,-156.4364
smaragdula,20.9308,-156.5019
smaragdula,20.9393,-156.689
smaragdula,20.9511,-156.5172
smaragdula,20.9542,-156.5211
smaragdula,21.001,-156.5542
smaragdula,21.0107,-156.5612
smaragdula,21.013,-156.6394
smaragdula,21.2755,-157.6961
smaragdula,21.283689,-157.822647
smaragdula,21.2839,-157.7152
smaragdula,21.291736,-157.677922
smaragdula,21.3011,-157.8811
smaragdula,21.3034,-157.8785
smaragdula,21.303865,-157.653544
smaragdula,21.3116,-157.6619
smaragdula,21.3152,-157.89
smaragdula,21.3179,-157.8912
smaragdula,21.3213,-157.886
smaragdula,21.3416,-157.9013
smaragdula,21.3467,-157.7127
smaragdula,21.3695,-157.9992
smaragdula,21.3755,-157.991
smaragdula,21.3769,-157.935
smaragdula,21.5355,-157.8396
smaragdula,21.5848,-158.1017
smaragdula,21.8781,-159.4572
smaragdula,22.00129,-160.08741
