species,Latitude,Longitude
microlepoides,21.2755,-157.6961
microlepoides,21.276,-157.6881
microlepoides,21.2786,-157.7753
microlepoides,21.2839,-157.7152
microlepoides,21.2927,-157.7162
microlepoides,21.2945,-157.6615
microlepoides,21.3011,-157.8811
microlepoides,21.3034,-157.8785
microlepoides,21.3116,-157.6619
microlepoides,21.3119,-157.8879
microlepoides,21.3152,-157.89
microlepoides,21.3179,-157.8912
microlepoides,21.3213,-157.886
microlepoides,21.3375,-157.9016
microlepoides,21.3416,-157.9013
microlepoides,21.3467,-157.7127
microlepoides,21.3695,-157.9992
microlepoides,21.3755,-157.991
microlepoides,21.38,-158.0047
microlepoides,21.3945,-157.9866
microlepoides,21.3964,-157.9484
microlepoides,21.5522,-158.0527
microlepoides,21.6859,-158.0248
