species,Latitude,Longitude
puteulanum,21.2755,-157.6961
puteulanum,21.276,-157.6881
puteulanum,21.2786,-157.7753
puteulanum,21.2839,-157.7152
puteulanum,21.2927,-157.7162
puteulanum,21.2945,-157.6615
puteulanum,21.3011,-157.8811
puteulanum,21.3034,-157.8785
puteulanum,21.3119,-157.8879
puteulanum,21.3152,-157.89
puteulanum,21.3179,-157.8912
puteulanum,21.3213,-157.886
puteulanum,21.3375,-157.9016
puteulanum,21.3416,-157.9013
puteulanum,21.3695,-157.9992
puteulanum,21.3755,-157.991
puteulanum,21.3945,-157.9866
puteulanum,21.3964,-157.9484
puteulanum,21.6254,-157.9215
