species,Latitude,Longitude
umbripennis,19.421188,-155.912217
umbripennis,19.558638,-155.96408
umbripennis,19.64,-156
umbripennis,20.7946,-156.4666
umbripennis,20.7957,-156.4714
umbripennis,20.798,-156.5875
umbripennis,20.8076,-156.5128
umbripennis,20.8309,-156.6382
umbripennis,20.8375,-156.4912
umbripennis,20.8433,-156.6516
umbripennis,20.8688,-156.5038
umbripennis,20.8692,-156.4982
umbripennis,20.8822,-156.6822
umbripennis,20.8846,-156.4509
umbripennis,20.887,-156.4995
umbripennis,20.8896,-156.4836
umbripennis,20.936,-156.3508
umbripennis,20.9393,-156.689
umbripennis,20.9699,-156.6772
umbripennis,21.291,-157.8123
umbripennis,21.291736,-157.677922
umbripennis,21.3075,-157.8599
umbripennis,21.368815,-157.956921
umbripennis,21.370407,-157.957575
