species,y,x
sonorina,19.296216,-155.095491
sonorina,19.578401,-155.967268
sonorina,19.611907,-155.97289
sonorina,19.611929,-155.972911
sonorina,19.613209,-155.975443
sonorina,19.619475,-155.985292
sonorina,19.620316,-155.986344
sonorina,19.674,-156.0262
sonorina,19.675875,-156.023017
sonorina,19.675949,-156.02633
sonorina,19.67602,-156.021824
sonorina,19.676204,-156.020846
sonorina,19.678228,-156.022043
sonorina,19.726387,-155.067795
sonorina,19.920946,-155.890868
sonorina,19.998417,-155.82397
sonorina,20.004192,-155.82373
sonorina,20.193347,-155.722458
sonorina,20.20397,-155.733865
sonorina,20.617475,-156.44432
sonorina,20.6839,-156.3864
sonorina,20.691228,-156.443237
sonorina,20.70462,-156.446487
sonorina,20.718813,-156.442823
sonorina,20.738868,-156.452764
sonorina,20.776847,-156.448485
sonorina,20.7959,-156.4893
sonorina,20.8076,-156.5128
sonorina,20.838864,-156.34264
sonorina,20.8433,-156.6516
sonorina,20.861588,-156.144573
sonorina,20.8674,-156.4861
sonorina,20.880294,-156.684402
sonorina,20.881903,-156.686692
sonorina,20.8822,-156.6822
sonorina,20.887,-156.4995
sonorina,20.8896,-156.4836
sonorina,20.8928,-156.4856
sonorina,20.9004,-156.4372
sonorina,20.9008,-156.4364
sonorina,20.924378,-156.693984
sonorina,20.928462,-156.694769
sonorina,20.92937,-156.36704
sonorina,20.9308,-156.5019
sonorina,20.937881,-156.692297
sonorina,20.941601,-156.509331
sonorina,20.942,-156.5137
sonorina,20.9511,-156.5172
sonorina,20.9578,-156.5258
sonorina,20.9707,-156.5392
sonorina,20.9832,-156.5451
sonorina,20.993168,-156.651052
sonorina,21.001,-156.5542
sonorina,21.003673,-156.661214
sonorina,21.0107,-156.5612
sonorina,21.2755,-157.6961
sonorina,21.2945,-157.6615
sonorina,21.29662,-157.812172
sonorina,21.3011,-157.8811
sonorina,21.30406,-157.649413
sonorina,21.304584,-157.825703
sonorina,21.30694,-157.83333
sonorina,21.3075,-157.8599
sonorina,21.309444,-157.656823
sonorina,21.310856,-157.803519
sonorina,21.317658,-157.877595
sonorina,21.317693,-157.877642
sonorina,21.3264,-157.6843
sonorina,21.3416,-157.9013
sonorina,21.3695,-157.9992
sonorina,21.3734,-158.0008
sonorina,21.3769,-157.935
sonorina,21.3805,-157.9449
sonorina,21.383,-157.9473
sonorina,21.3964,-157.9484
sonorina,21.3966,-157.9478
sonorina,21.404883,-157.739533
sonorina,21.405668,-157.756335
sonorina,21.452661,-158.19289
sonorina,21.452676,-158.192786
sonorina,21.452676,-158.192936
sonorina,21.452732,-158.192858
sonorina,21.452746,-158.19282
sonorina,21.453903,-158.192379
sonorina,21.453935,-158.192267
sonorina,21.464001,-157.962006
sonorina,21.5355,-157.8396
sonorina,21.635687,-158.053661
sonorina,21.876155,-159.460588
sonorina,21.885653,-159.49411
sonorina,22.010073,-159.778769
sonorina,21.38877,-157.915108
sonorina,19.657986,-155.983158
sonorina,19.724111,-155.086819
sonorina,21.093333,-157.023889
sonorina,21.306944,-157.858333
sonorina,21.339846,-157.711238
sonorina,19.639997,-155.996912
sonorina,21.15,-157.03
