Longitude,Latitude
169.468318,-46.559539
169.496841,-46.521714
168.351802,-46.405383
168.333,-46.4
168.733177,-46.322581
169.745821,-46.233772
168.862228,-46.051666
169.669127,-45.994532
170.39443,-45.930259
170.521943,-45.901691
170.535008,-45.901421
170.483228,-45.900889
170.483099,-45.900739
170.142899,-45.886919
170.536545,-45.8829
170.536972,-45.88287
170.537033,-45.882858
170.536895,-45.882837
170.498383,-45.878717
170.515033,-45.863666
170.533383,-45.85422
170.656913,-45.845501
170.49895,-45.832346
170.507931,-45.804522
170.462082,-45.801425
170.57785,-45.774468
170.578257,-45.77403
169.32138,-45.479062
170.850362,-45.359985
169.390005,-45.254994
169.355792,-45.24365
168.683687,-45.048538
168.685888,-45.045821
168.662644,-45.031162
168.648934,-45.029062
168.73807,-45.020134
168.809879,-44.982424
168.850063,-44.948177
168.813432,-44.947549
168.835862,-44.941688
168.404649,-44.892092
169.335966,-44.649067
169.973064,-44.490946
171.25558,-44.447537
171.254973,-44.396972
170.949403,-44.303641
171.278885,-44.185001
170.479181,-44.001216
-176.5331,-43.8831
172.266634,-43.881129
169.064278,-43.861968
-176.590545,-43.811129
173.02803,-43.810757
173.02855,-43.810728
173.028561,-43.810653
173.028592,-43.810647
172.153798,-43.78312
172.287344,-43.768171
172.287473,-43.768124
172.3682,-43.754108
172.7,-43.716
172.531617,-43.706317
172.440063,-43.659542
172.22423,-43.649154
172.456046,-43.647161
172.461313,-43.647009
172.464232,-43.64679
172.463955,-43.646602
172.460922,-43.646394
172.465564,-43.646256
172.467244,-43.646202
172.462285,-43.646138
172.466603,-43.645825
172.467244,-43.645819
172.461349,-43.645618
172.461349,-43.645615
172.465105,-43.645513
172.463071,-43.6455
172.465552,-43.64548
172.46403,-43.645416
172.46472,-43.645244
172.464674,-43.645229
172.469432,-43.64519
172.465225,-43.645162
172.466355,-43.645142
172.466297,-43.645126
172.46637,-43.645125
172.466387,-43.645125
172.466392,-43.645116
172.465365,-43.645103
172.466402,-43.645098
172.465313,-43.645088
172.46519,-43.645073
172.466441,-43.645071
172.466414,-43.645065
172.466772,-43.645065
172.465408,-43.645062
172.468308,-43.645058
172.466417,-43.645058
172.466459,-43.645057
172.469719,-43.64505
172.467435,-43.645032
172.468651,-43.64503
172.466385,-43.645
172.468195,-43.644963
172.468066,-43.644948
172.468737,-43.644945
172.467162,-43.644928
172.468522,-43.644923
172.468142,-43.64492
172.468355,-43.644913
172.468376,-43.644906
172.468214,-43.644901
172.468359,-43.6449
172.426042,-43.644887
172.46762,-43.644881
172.468145,-43.644873
172.469008,-43.64487
172.468368,-43.64487
172.46837,-43.644867
172.468384,-43.64484
172.468292,-43.644797
172.469153,-43.644796
172.468247,-43.644795
172.468338,-43.644779
172.46875,-43.644772
172.468187,-43.644755
172.468763,-43.644753
172.468383,-43.644753
172.468345,-43.644728
172.468388,-43.644726
172.468597,-43.644714
172.468353,-43.644712
172.442281,-43.644695
172.468278,-43.644692
172.466675,-43.644675
172.468983,-43.644626
172.42689,-43.644543
172.466469,-43.644541
172.466583,-43.644537
172.466852,-43.644466
172.469311,-43.644385
172.46692,-43.644375
172.466125,-43.644353
172.469059,-43.644337
172.466325,-43.644333
172.469099,-43.644329
172.466913,-43.644303
172.469165,-43.644298
172.466212,-43.644297
172.469086,-43.644295
172.469025,-43.644292
172.46935,-43.644286
172.466217,-43.644275
172.466087,-43.644274
172.466188,-43.644271
172.466209,-43.644245
172.466185,-43.644245
172.470093,-43.644236
172.467159,-43.644223
172.4687,-43.644212
172.468583,-43.644199
172.468125,-43.644183
172.469274,-43.644161
172.467274,-43.644146
172.466206,-43.644144
172.470075,-43.644112
172.467539,-43.644091
172.468063,-43.644091
172.467502,-43.644088
172.466148,-43.644059
172.467609,-43.644049
172.468819,-43.643997
172.468073,-43.643985
172.470224,-43.643972
172.469311,-43.643946
172.467092,-43.643946
172.468494,-43.643944
172.467459,-43.643908
172.466915,-43.643879
172.466125,-43.643869
172.468318,-43.643826
172.466934,-43.643826
172.46701,-43.643804
172.468513,-43.643799
172.466992,-43.643787
172.467422,-43.643787
172.466948,-43.643775
172.467012,-43.643753
172.466937,-43.643736
172.468204,-43.643727
172.467774,-43.643685
172.46698,-43.643678
172.468118,-43.643649
172.468494,-43.643648
172.469325,-43.643641
172.466995,-43.643628
172.470408,-43.643612
172.469772,-43.643592
172.469925,-43.643513
172.4685,-43.643499
172.468237,-43.643488
172.468271,-43.643479
172.469897,-43.643475
172.468032,-43.643455
172.469758,-43.643453
172.466466,-43.643445
172.468185,-43.643444
172.466476,-43.643444
172.469865,-43.64344
172.46968,-43.643428
172.469721,-43.643427
172.46962,-43.643417
172.469735,-43.643409
172.469744,-43.643408
172.46807,-43.643397
172.46965,-43.643394
172.470093,-43.643387
172.46974,-43.643387
172.469683,-43.643379
172.469906,-43.643377
172.469778,-43.643367
172.469761,-43.643366
172.46982,-43.643364
172.469771,-43.64336
172.468074,-43.643347
172.469809,-43.643344
172.468155,-43.643337
172.469793,-43.643334
172.469727,-43.643333
172.469712,-43.643333
172.468048,-43.643333
172.468166,-43.643329
172.469739,-43.643328
172.469772,-43.643325
172.470047,-43.643325
172.469782,-43.643321
172.469758,-43.64332
172.469742,-43.64332
172.469788,-43.64332
172.469765,-43.643318
172.469799,-43.643317
172.469846,-43.643314
172.469811,-43.643314
172.469784,-43.643314
172.469987,-43.643313
172.469786,-43.643313
172.469788,-43.643312
172.469803,-43.643312
172.46981,-43.643312
172.469824,-43.643309
172.469831,-43.643308
172.469895,-43.643305
172.47,-43.643305
172.469849,-43.643303
172.469772,-43.643301
172.469788,-43.64328
172.469662,-43.64327
172.467915,-43.643255
172.469514,-43.643241
172.469758,-43.64323
172.467958,-43.643206
172.469788,-43.64315
172.466572,-43.643145
172.466652,-43.643144
172.466549,-43.643134
172.469621,-43.643132
172.466393,-43.643117
172.466458,-43.6431
172.466603,-43.643085
172.468422,-43.64307
172.466185,-43.643002
172.466467,-43.642935
172.46807,-43.642907
172.467831,-43.642679
172.467537,-43.642609
172.480667,-43.642194
172.487447,-43.641945
172.472407,-43.641776
172.487394,-43.641761
172.47035,-43.641742
172.473868,-43.641729
172.474586,-43.640986
172.479051,-43.640925
172.476517,-43.640026
172.485879,-43.637254
172.486887,-43.63417
172.486744,-43.634061
172.486714,-43.634012
172.483,-43.633
172.499325,-43.627847
172.651279,-43.62737
171.633,-43.616
172.722048,-43.602824
171.667209,-43.601578
172.56,-43.600667
172.57861,-43.600209
172.4,-43.6
172.386131,-43.5996
172.57944,-43.599154
172.386056,-43.593083
172.639244,-43.586767
172.565811,-43.586219
172.565797,-43.5862
172.571072,-43.585436
172.504566,-43.583341
172.635715,-43.581421
172.634913,-43.58091
172.634366,-43.580247
172.634086,-43.580078
172.613534,-43.578932
172.626474,-43.578666
172.627831,-43.577722
172.630742,-43.576993
172.738724,-43.576641
172.615372,-43.57507
172.629221,-43.573825
172.629311,-43.573772
172.635734,-43.573218
172.718787,-43.573091
172.72943,-43.571074
172.661084,-43.569127
172.611144,-43.5688
172.551823,-43.567884
172.65907,-43.566291
172.610322,-43.564103
172.611822,-43.564069
172.596381,-43.563708
172.715424,-43.562485
172.602014,-43.561835
172.636083,-43.559694
172.579672,-43.559128
172.578361,-43.557468
172.586799,-43.556431
172.531749,-43.555785
172.719324,-43.555649
172.533511,-43.555572
172.534555,-43.553106
172.666808,-43.551725
172.639941,-43.548249
172.679046,-43.547375
172.635117,-43.538006
172.689303,-43.537391
172.639221,-43.535908
172.558931,-43.532361
172.621891,-43.532315
172.617237,-43.531047
172.621388,-43.530833
172.621654,-43.530684
172.621388,-43.530555
172.621095,-43.53055
172.621095,-43.530472
172.621004,-43.530455
172.620955,-43.530443
172.621011,-43.530441
172.621109,-43.53041
172.621049,-43.530271
172.445666,-43.529919
172.620728,-43.528408
172.561124,-43.522145
172.659561,-43.520844
172.64595,-43.519759
172.663192,-43.517105
172.576168,-43.517085
172.662971,-43.516988
171.658463,-43.51588
172.593668,-43.515522
172.669469,-43.515051
172.59349,-43.514736
172.660202,-43.514262
172.630192,-43.514046
172.676666,-43.511944
172.606173,-43.510208
172.433411,-43.509719
172.627465,-43.505181
172.63365,-43.505149
172.600918,-43.504535
172.688564,-43.501161
172.654662,-43.499471
172.697249,-43.496659
172.695943,-43.495722
172.573056,-43.488715
172.725482,-43.488154
172.690193,-43.484339
172.60428,-43.462341
171.89329,-43.45902
172.635719,-43.447385
146.161124,-43.428502
146.161231,-43.428451
147.3315,-43.4277
146.164023,-43.418391
172.621105,-43.415453
172.037686,-43.385591
172.669351,-43.384029
172.581603,-43.367607
172.593002,-43.367197
172.584676,-43.365894
172.689148,-43.312023
172.181854,-43.302795
171.935406,-43.295849
171.9332,-43.2926
146.32,-43.28
172.09256,-43.262802
172.067356,-43.252173
146.769591,-43.207984
172.255829,-43.200554
172.709879,-43.198888
147.092283,-43.176657
172.350294,-43.172506
147.227892,-43.169573
172.736648,-43.164411
172.737249,-43.164387
172.730776,-43.154913
172.527639,-43.148444
172.537333,-43.148076
172.935405,-43.087959
172.685214,-43.073957
172.617273,-43.073277
172.748981,-43.064875
172.611035,-43.06453
171.759179,-43.035071
146.35056,-43.029717
147.489899,-43.0205
147.2893,-43.0043
147.3,-43
146.372093,-42.991927
147.324081,-42.980648
147.3162,-42.9799
147.312496,-42.973773
146.360617,-42.964141
147.3491,-42.9474
147.298806,-42.916667
147.3268,-42.9015
147.3,-42.9
147.3315,-42.8963
147.2349,-42.8963
147.245931,-42.885209
147.32385,-42.883609
147.323,-42.883
146.381713,-42.881701
147.332468,-42.865611
147.3315,-42.8655
147.329367,-42.86467
147.30942,-42.862857
147.321105,-42.86258
147.321395,-42.86254
147.356859,-42.822441
172.747469,-42.806348
146.663376,-42.729208
172.640699,-42.726352
146.452614,-42.724856
170.97623,-42.707829
146.716555,-42.682163
146.931649,-42.650744
171.478533,-42.577011
172.850044,-42.50404
146.714664,-42.485954
-73.766322,-42.483622
172.791603,-42.386838
146.514992,-42.375714
173.612563,-42.37355
172.383,-42.366
147.92,-42.35
146.406325,-42.240397
172.831035,-42.168318
171.455871,-41.910216
-73.667692,-41.877967
172.833,-41.833
-73.632038,-41.825525
172.335738,-41.797033
-71.4749,-41.7746
171.598663,-41.755481
171.598434,-41.755426
171.59862,-41.750358
172.502947,-41.73216
145.97,-41.67
145.955425,-41.649119
-71.501,-41.647
148.2,-41.6
148.185554,-41.58024
173.929569,-41.572315
148.045372,-41.56857
173.988756,-41.561446
173.953872,-41.518368
173.947933,-41.509941
173.947947,-41.509897
144.812,-41.493
147.198049,-41.487961
173.831345,-41.478619
145.1632,-41.4721
145.316469,-41.472071
173.828521,-41.443224
173.949597,-41.430466
145.577832,-41.370905
173.257673,-41.365884
174.929662,-41.348424
173.225015,-41.346053
145.018588,-41.341964
174.791767,-41.331732
174.772583,-41.328628
174.786146,-41.32584
144.995099,-41.322239
173.239731,-41.313187
144.948369,-41.308733
174.778547,-41.303636
174.78647,-41.30278
174.786394,-41.302699
174.771083,-41.296508
174.794094,-41.29622
174.747657,-41.296155
174.688987,-41.295778
174.73851,-41.295607
174.688387,-41.295563
174.7457,-41.295524
174.745292,-41.295475
174.834857,-41.295238
174.688503,-41.295233
174.798834,-41.295171
174.833437,-41.294998
174.833497,-41.294947
