Longitude,Latitude
-97.494167,18.318611
-98.65,20.569444
-103.366667,25.166667
-100.818022,25.230689
-100.708517,25.267539
-103.333333,25.4
-102.5,25.666667
-103.816667,25.85
-103.81,26.23
-103.95,26.583333
-103.8015,26.62602
-103.7719,26.63403
-102.166667,26.65
-103.766667,26.65
-103.6,26.683333
-102.066667,26.686178
-103.747497,26.686178
-103.733333,26.733333
-104.525556,26.781667
-102.066667,26.833333
-102.133333,26.866667
-108.921667,27.026667
-105.045278,27.248056
-102.45,27.3
-104.915833,27.46
-105.207778,27.755556
-106.118333,27.875556
-105.285,27.9025
-106.116667,27.95
-109.211389,28.333333
-106.264722,28.35
-109.71,28.47
-105.834167,28.920556
-103.4069,29.1622
-102.9917,29.1819
-103.3014,29.2668
-103.3181,29.2753
-103.2059,29.3257
-103.2858,29.3529
-110.617222,29.3725
-105.1,29.466667
-106.083333,29.548889
-104.953333,29.565556
-104.85,29.565833
-104.788056,29.566111
-104.736667,29.566389
-110.966667,30.320833
-109.92865,31.34359
-109.53728,31.34645
-106.466667,31.35
-110.93391,31.36278
-106.466667,31.422222
-111.05167,31.56861
-111.05318,31.6296
-111.05977,31.63365
-109.68701,31.68537
-110.0644,31.71842
-110.33057,31.90741
-109.14145,31.9137
-109.13012,31.9229
-109.14275,31.95462
-112.8095,31.956
-109,32
-110.8761,32.17613
-112.7857,32.1842
-110.9737,32.42221
-117.0469,32.6433
-114.29467,32.66948
-117.239536,32.674417
-116.91484,32.857288
-111.28111,32.90316
-112.72507,32.97317
-114.36481,33.05371
-112.25431,33.06004
-114.24911,33.23806
-113.298,33.6065
-114.89994,33.609
-114.58665,33.63082
-116.36399,33.64211
-116.51508,33.79464
-116.54494,33.96967
-119.677,33.9894
-120.0627,33.9969
-118.8065,34.0022
-119.024,34.0773
-112.01,34.75
-115.7731,34.8681
-115,35
-116,35
-108,35
-112,35
-109.7682,35.0788
-116.10397,35.14069
-114.9005,35.3867
-116.3676,35.6975
-116.3804,35.719
-114.8483,35.95
-115,36
-114,36
-116,36
-114.7367,36.0167
-113.3767,36.1558
-114.7933,36.1572
-115.1812,36.2164
-114.6678,36.22146
-117.15,36.24
-117.1,36.25
-117.17,36.26
-115.29134,36.31312
-115.76,36.32
-114.4367,36.3802
-114.4153,36.3872
-114.4236,36.392
-116.85,36.43
-114.4117,36.4318
-114.4336,36.4536
-114.5322,36.4561
-117.4474,36.4904
-113.7083,36.4991
-114.06901,36.5306
-117.1247,36.6159
-114.5721,36.6617
-114.1269,36.7841
-118.12927,36.80229
-114,36.81
-113,37
-112,37
-111,37
-114,37
-115,37
-117.6817,37.1074
-117.7661,37.1208
-119.32182,37.1249
-118.2026,37.17004
-112.9812,37.1988
-112.9882,37.1997
-112.9876,37.2033
-112.185,37.3603
-118.17,37.4983
-111.1454,37.9656
-108,39
-112.9297,40.1639
-112.92,40.2014
-112.8653,40.2333
-113.0442,40.3361
-111.7118,40.4428
-115.51997,36.477549
-103.088374,29.353838
-103.242538,29.127487
-103.86829,26.760123
-102.066301,27.049803
-103.846838,26.779278
-101.317659,26.84639
