Longitude,Latitude
-80.69472,24.88027
-80.69472,24.90002
-80.50317,25.03169
-80.3356,25.4646
-80.1535,25.6712
-80.1542,25.6764
-80.1549,25.6802
-81.3559,25.9537
-80.1497,26.0108
-81.345,26.0509
-80.2637,26.1071
-80.26,26.11
-80.6315,26.1446
-81.0757,26.1676
-80.8563,26.1692
-80.8559,26.1834
-81.3422,26.265
-81.3431,26.2829
-80.2,26.3
-80.20196,26.30345
-81.23,26.31
-81.2671,26.3113
-81.2354,26.3121
-80.2209,26.3323
-80.2362,26.33705
-80.27564,26.34889
-80.28,26.35
-80.28303,26.35158
-80.29766,26.35511
-81.8818,26.3926
-82.0815,26.4282
-82.088,26.4311
-82.0936,26.4397
-82.0803,26.4419
-82.1168,26.4466
-82.0407,26.4479
-82.0385,26.4488
-82.0372,26.4541
-82.153,26.4626
-80.20921,26.49849
-80.20855,26.49849
-80.2218,26.5533
-80.1015,27.0072
-80.1069,27.0204
-82.3175,27.0419
-80.1415,27.0731
-80.1193,27.0738
-80.14,27.0772
-80.1416,27.0812
-80.1442,27.083
-80.1518,27.0886
-80.1565,27.0997
-80.152,27.1008
-81.352007,27.182843
-81.3911,27.43
-81.5417,27.4711
-81.5576,27.6827
-81.5632,27.6904
-81.5612,27.7147
-81.5779,27.7407
-81.5972,27.7686
-81.5857,27.8475
-81.59775,27.8822
-80.5783,28.0006
-80.5783,28.0047
-81.5989,28.3983
-81.5333,28.4333
-80.799,28.5297
-81.3644,28.5533
-80.6881,28.5858
-81.2069,28.5925
-81.2003,28.6019
-81.1894,28.6019
-81.1939,28.6044
-81.2067,28.6086
-81.1679,28.6137
-80.6847,28.6429
-80.6847,28.6431
-80.6247,28.6444
-81.2086,28.6633
-81.0675,28.6781
-81.4843,28.7209
-81.5026,28.7336
-81.4071,28.8244
-81.3643,28.8601
-81.2986,28.9489
-81.1711,29.1936
-82.5643,29.6418
-82.5643,29.6429
-81.2276,29.7088
-81.2289,29.7096
-81.234,29.7147
-81.2726,29.8622
-81.4834,30.3667
-81.4857,30.3842
-81.5007,30.3867
-81.5393,30.4169
-84.9478,30.5689
-81.4597,30.808
-81.4369,30.8264
-81.14,32.14
-81.1065,32.1422
-81.0945,32.1628
-81.1022,32.1654
-81.0998,32.1796
-81.1056,32.1844
-81.0988,32.1904
-81.1031,32.1907
-81.105,32.1907
-81.107,32.1966
-83.7165,33.0509
-84.4479,33.9123
-77.9115,33.9915
-77.9079,34.0994
-78.0332,34.1971
-78.3908,34.2182
-78.4674,34.2768
-80.2962,34.48
-80.2707,34.4989
-80.22,34.5
-80.226,34.5037
-80.2173,34.5069
-80.2217,34.5196
-80.2262,34.5239
-80.2524,34.5321
-80.1769,34.5469
-80.18,34.55
-80.26,34.56
-80.2368,34.5631
-80.1827,34.5666
-80.2299,34.5719
-80.2067,34.5723
-80.1782,34.5738
-80.1771,34.5759
-80.2336,34.578
-80.1772,34.5808
-80.2532,34.6015
-80.2353,34.6029
-80.2331,34.6069
-80.2535,34.6084
-80.2507,34.6092
-80.189,34.6125
-80.19,34.62
-79.31,35.28
-82.3153,35.7325
-78.0732,35.9443
-76.5914,38.3499
-75.4108,38.4204
-76.283333,38.8
-78.3347,39.2557
-73.2052,42.6555
-81.35208,27.182841
-81.591662,25.991698
